,Puesto,Colegio,Calendario,Evaluados,Promedio_Total,Matematica,DE_Matematica,Quimica,DE_Quimica,Fisica,DE_Fisica,Biologia,DE_Biologia,Filosofia,DE_Filosofia,Ingles,DE_Ingles,Lenguaje,DE_Lenguaje,Sociales,DE_Sociales,Municipio,Departamento,Jornada,Oficial
11210,11211,INST. ED. DEPARTAMENTAL LUIS CARLOS GALAN SARMIENTO,A,39,39.6,40.3,8.5,41.4,6.1,42.0,5.7,40.5,7.1,36.2,8.5,36.7,5.4,41.3,5.4,38.2,7.1,PLATO,MAGDALENA,MAÑANA,SI
11211,11212,MUNICIPAL DE BACHILLERATO DEL MUNICIPIO DE PIZA,A,14,39.6,40.1,8.5,42.5,5.4,41.0,6.9,41.1,9.1,35.3,9.0,36.0,6.1,42.6,5.1,38.0,7.6,MAJAGUAL,SUCRE,MAÑANA,SI
11212,11213,ATENEO AUTONOMO DE COLOMBIA,F(1),11,39.6,39.1,5.7,42.1,4.3,38.6,7.3,42.1,3.7,34.8,7.9,37.1,5.4,42.3,5.1,40.6,5.8,ACEVEDO,HUILA,SABATINA - DOMINICAL,NO
11213,11214,INST. ED. EL BUEN PASTOR,A,31,39.6,39.7,9.5,42.6,3.6,41.9,5.9,39.7,5.4,36.1,10.1,37.7,6.3,40.9,5.8,38.2,8.1,BARRANQUILLA,ATLANTICO,MAÑANA,SI
11214,11215,INST. ED. RURAL ARENAS MONAS,A,11,39.6,39.7,6.5,42.2,4.4,42.6,7.5,41.4,5.2,33.7,8.0,36.3,7.6,43.4,6.2,37.5,9.0,SAN PEDRO DE URABA,ANTIOQUIA,COMPLETA U ORDINARIA,SI
11215,11216,DEPARTAMENTAL NACIONALIZADO,A,23,39.6,42.2,6.4,42.1,4.8,40.3,4.2,40.6,7.1,33.3,8.3,38.1,7.6,40.0,5.5,40.1,8.5,CAQUEZA,CUNDINAMARCA,NOCHE,SI
11216,11217,INSTITUCION EDUCATVIA GENERAL FRANCISCO DE PAULA SANTANDER,A,33,39.6,38.9,8.1,40.9,4.8,42.0,7.3,41.6,6.0,36.9,9.6,38.2,6.4,41.7,6.3,36.2,7.3,CALI,VALLE,NOCHE,SI
11217,11218,INST. ED. BACHILLERATO PATIA,A,10,39.6,35.1,7.6,40.1,6.8,40.9,5.6,43.7,6.5,36.9,5.6,36.8,3.9,43.0,3.0,40.1,6.0,PATIA(EL BORDO),CAUCA,NOCHE,SI
11218,11219,INST. ED. TOMAS SANTOS,A,54,39.6,41.2,9.2,42.1,4.4,41.8,7.0,38.4,6.4,36.6,9.3,36.3,6.0,43.1,6.0,37.2,7.6,SAN ANTERO,CORDOBA,MAÑANA,SI
11219,11220,INSTITUTO REGIONAL COREDI,F(2),12,39.6,41.1,6.5,40.7,4.8,41.1,9.9,40.3,4.1,36.5,9.3,35.3,7.2,40.8,6.1,40.9,6.4,SAN FRANCISCO,ANTIOQUIA,COMPLETA U ORDINARIA,NO
11220,11221,COMUNAL TECNOLOGICO PRODUCTIVO DE EDUCACION BASICA SECUNDARIA,A,35,39.6,40.0,9.7,41.3,4.2,41.0,6.3,41.1,6.1,36.3,5.7,37.3,5.4,42.3,5.5,37.3,9.4,EL BANCO,MAGDALENA,MAÑANA,SI
11221,11222,CENTRO EDUCATIVO POR CICLOS PARA ADULTOS EL TAMBO CEDCAT,F(1),7,39.6,43.9,7.2,37.4,8.3,38.1,9.0,41.7,3.5,36.3,6.4,37.9,4.9,40.7,7.6,40.6,5.2,EL TAMBO,CAUCA,SABATINA - DOMINICAL,NO
11222,11223,CIUDADELA CUBA,A,47,39.6,38.7,11.1,42.7,3.9,38.6,6.4,40.2,5.7,35.5,8.3,40.1,5.7,40.9,5.5,40.0,8.8,PEREIRA,RISARALDA,NOCHE,SI
11223,11224,INST. ED. BILINGÜE ANDRES BELLO DE ISTMINA,A,36,39.6,39.6,8.3,42.5,4.5,40.6,8.3,39.5,8.2,35.4,7.4,38.1,6.5,41.7,4.8,39.2,8.4,ITSMINA,CHOCO,MAÑANA,SI
11224,11225,INST. ARQUIDIOCESANO URBANO Y RURAL IAUR,F(2),77,39.6,40.3,9.1,41.0,4.8,42.1,5.8,40.7,6.8,35.3,8.3,36.7,5.8,40.8,6.6,39.7,7.3,URRAO,ANTIOQUIA,COMPLETA U ORDINARIA,NO
11225,11226,INSTITUTO INTER,F(1),11,39.6,40.6,9.2,40.6,4.3,41.4,10.4,39.6,3.9,28.9,5.4,37.7,5.6,45.5,5.7,42.4,4.5,CUCUTA,NORTE SANTANDER,COMPLETA U ORDINARIA,NO
11226,11227,ANTONIO NARIÑO,F(2),58,39.6,41.8,8.0,41.3,3.9,41.2,6.1,40.2,5.7,36.1,8.1,35.9,7.6,41.4,5.2,38.7,6.4,VISTA HERMOSA,META,SABATINA - DOMINICAL,NO
11227,11228,INST. TECNICO INDUSTRIAL JULIO FLOREZ,F(2),70,39.6,39.6,9.8,42.1,4.9,41.0,6.3,40.4,7.5,34.7,9.7,38.0,6.0,41.5,5.9,39.4,6.4,CHIQUINQUIRA,BOYACA,NOCHE,SI
11228,11229,INSTITUCION  EDUCATIVA INDIGENA AGROAMBIENTAL MAYKER,A,8,39.6,39.9,10.0,42.1,2.9,42.9,8.5,38.6,5.0,36.3,1.7,35.9,6.6,38.8,2.8,42.1,5.2,CUMBAL,NARIÑO,MAÑANA,SI
11229,11230,INST. ED. ANTONIA SANTOS,A,27,39.6,38.9,8.8,41.2,3.5,40.7,6.9,40.4,8.6,36.9,8.6,37.2,4.9,41.7,7.1,39.5,8.5,SABANALARGA,ATLANTICO,MAÑANA,SI
11230,11231,ACADEMICO DE ASNAZU,A,46,39.6,40.8,7.0,41.9,3.4,41.0,7.4,40.3,8.2,36.3,7.3,37.2,5.2,41.2,7.2,37.8,7.4,SUAREZ,CAUCA,COMPLETA U ORDINARIA,SI
11231,11232,INST. ED. JOSE DE LA VEGA,A,44,39.6,39.4,9.2,42.3,4.0,41.7,5.9,40.9,6.7,35.9,8.9,36.7,6.0,40.8,5.8,38.8,7.4,CARTAGENA,BOLIVAR,NOCHE,SI
11232,11233,PIEDRECITAS,A,32,39.6,39.8,10.3,40.5,4.2,41.3,6.6,39.8,6.9,36.1,7.8,37.0,5.6,42.4,5.6,39.4,6.9,TURBO,ANTIOQUIA,MAÑANA,SI
11233,11234,LICEO COLOMBIA,F(2),14,39.6,39.3,5.4,40.9,4.3,41.8,7.3,40.8,5.4,34.6,3.5,39.6,7.1,40.1,5.1,39.5,5.2,SINCELEJO,SUCRE,NOCHE,NO
11234,11235,INST. ED. DEPARTAMENTAL JHON F KENNEDY,A,42,39.6,41.5,7.0,41.8,4.8,40.9,4.4,42.2,5.9,35.3,8.8,36.3,6.3,41.4,5.8,37.0,6.4,ARACATACA,MAGDALENA,COMPLETA U ORDINARIA,SI
11235,11236,INST. ED. CALIBIO,F(2),25,39.6,38.8,9.4,41.8,3.5,40.9,7.3,40.2,5.7,32.4,8.6,38.7,4.2,42.2,6.2,41.5,5.5,POPAYAN,CAUCA,SABATINA - DOMINICAL,SI
11236,11237,INST. ED. RAFAEL URIBE URIBE,F(2),21,39.6,44.1,8.6,42.0,3.1,40.6,6.4,39.2,8.3,33.9,12.3,38.3,4.9,41.8,4.8,36.6,7.5,CALARCA,QUINDIO,SABATINA - DOMINICAL,SI
11237,11238,SAN PEDRO CLAVER,F(2),69,39.6,38.6,10.2,41.8,4.0,42.0,6.7,42.2,6.5,35.2,9.5,37.7,8.1,39.6,6.3,39.2,7.9,CUCUTA,NORTE SANTANDER,SABATINA - DOMINICAL,NO
11238,11239,INSTITUCIÓN EDUCATIVA TECNICA AGROPECUARIA MAMON DE MARIA,A,7,39.6,41.6,9.3,42.1,4.1,36.1,7.8,43.0,8.4,36.0,4.3,37.1,4.3,39.9,5.3,40.6,10.3,EL CARMEN DE BOLIVAR,BOLIVAR,MAÑANA,SI
11239,11240,INDIGENA CASA DEL CONOCIMIENTO,A,19,39.6,35.3,10.3,41.5,4.7,43.8,6.2,40.8,4.6,34.0,7.4,37.5,4.6,41.6,5.8,41.8,6.2,LA CHORRERA,AMAZONAS,COMPLETA U ORDINARIA,SI
11240,11241,INST. ED. EL CAUCHAL,A,17,39.6,41.7,7.5,42.3,3.0,42.7,5.2,39.1,7.8,35.1,9.0,34.8,7.3,38.9,9.2,41.9,6.1,SAN BENITO ABAD,SUCRE,MAÑANA,SI
11241,11242,CENTRO DE INSTRUCCION SISTEMATIZADA CEIS,F(2),5,39.6,37.0,9.7,42.2,2.6,41.0,8.0,44.2,6.5,38.0,11.3,38.6,0.9,42.6,3.0,32.8,6.6,FUNZA,CUNDINAMARCA,NOCHE,NO
11242,11243,INST. ACEVEDO Y GOMEZ,A,30,39.6,39.9,8.8,42.8,4.7,41.3,7.4,39.1,6.8,36.0,6.5,36.5,5.3,41.4,5.4,39.4,9.1,PUERTO RICO,CAQUETA,NOCHE,SI
11243,11244,INST. ED. SAN JERONIMO,F(2),21,39.5,41.4,8.1,41.5,3.0,39.3,4.9,39.3,6.4,36.1,9.1,37.8,3.8,40.2,5.8,40.9,5.9,AYAPEL,CORDOBA,SABATINA - DOMINICAL,NO
11244,11245,JOSE ANTONIO GALAN,A,11,39.5,41.4,7.3,41.5,3.9,42.6,4.3,37.6,4.8,35.9,3.7,39.6,3.1,38.3,4.4,39.6,6.6,MANZANARES,CALDAS,COMPLETA U ORDINARIA,SI
11245,11246,INST. ED. TECNICA AGROPECUARIA DE BUENOS AIRES,A,19,39.5,38.8,8.5,42.2,4.3,42.8,7.7,37.6,7.9,35.5,6.7,37.6,3.3,41.0,4.6,40.9,6.8,EL PEÑON,BOLIVAR,MAÑANA,SI
11246,11247,LICEO GENERAL DEL CASANARE,F(1),14,39.5,37.9,14.7,41.4,4.8,43.1,4.6,40.6,6.5,34.3,5.4,37.8,16.7,43.8,9.7,37.5,13.7,YOPAL,CASANARE,SABATINA - DOMINICAL,NO
11247,11248,INST. ED. SANTA TERESA DE PATILLO,A,14,39.5,38.9,7.6,40.3,4.7,39.3,7.6,38.8,6.8,36.1,8.2,38.6,5.5,43.2,4.5,41.1,3.4,AGUACHICA,CESAR,MAÑANA,SI
11248,11249,INSTITUTO AGRICOLA,A,60,39.5,40.0,9.6,42.2,5.0,40.5,7.1,41.2,6.5,36.4,9.1,38.0,5.9,40.5,6.9,37.6,8.8,FONSECA,LA GUAJIRA,MAÑANA,SI
11249,11250,INST. DEPARTAMENTAL TECNICO COMERCIAL,A,71,39.5,42.2,7.1,42.2,3.9,40.3,6.7,38.6,7.2,35.1,8.1,38.7,5.3,40.6,5.9,38.9,7.6,CONDOTO,CHOCO,TARDE,SI
11250,11251,INST. ED. OFICIAL RURAL SAN JORGE,F(2),41,39.5,42.1,7.7,41.0,4.4,41.8,6.4,40.2,5.6,34.7,8.0,37.3,6.3,42.0,4.9,37.3,9.3,ZIPAQUIRA,CUNDINAMARCA,NOCHE,SI
11251,11252,INSTITUTO REGIONAL COREDI,F(2),49,39.5,39.1,7.8,41.0,3.6,43.4,5.3,40.2,5.8,36.0,6.9,35.1,6.1,41.9,6.1,39.8,7.5,COCORNA,ANTIOQUIA,COMPLETA U ORDINARIA,NO
11252,11253,"INST. ED. TECNICA INDUSTRIAL ""DON BOSCO""",A,25,39.5,40.0,7.0,40.5,3.9,41.6,8.0,42.6,5.8,34.6,10.0,35.2,5.3,41.4,4.8,40.3,6.6,ARJONA,BOLIVAR,TARDE,SI
11253,11254,LICEO CENTRAL,A,26,39.5,42.3,6.8,42.2,5.8,38.5,6.8,40.1,5.3,35.8,8.5,35.5,5.9,42.1,4.9,39.8,7.8,CARTAGENA,BOLIVAR,TARDE,NO
11254,11255,MUNICIPAL JOSE DE LOS SANTOS ZUÑIGA,A,47,39.5,42.1,7.0,40.6,3.8,39.4,6.6,40.6,5.2,36.0,7.2,37.1,5.5,41.4,5.4,39.1,9.2,CHIGORODO,ANTIOQUIA,NOCHE,SI
11255,11256,INST. TECNICO PARA EL DESARROLLO RURAL IDEAR,A,10,39.5,45.1,6.9,40.1,4.4,40.1,5.2,40.8,7.4,34.0,8.1,34.5,6.2,42.3,5.2,39.4,6.2,CABRERA,SANTANDER,COMPLETA U ORDINARIA,SI
11256,11257,INSTITUTO REGIONAL COREDI,F(1),41,39.5,39.3,8.0,41.2,4.8,38.4,7.8,40.8,5.9,34.1,8.2,37.1,5.4,44.9,6.3,40.6,5.8,ARGELIA,ANTIOQUIA,COMPLETA U ORDINARIA,NO
11257,11258,INST. ED. CRISTOBAL COLON,A,167,39.5,40.8,8.8,41.2,4.8,42.6,6.1,41.1,6.6,34.4,8.0,37.1,5.9,41.5,4.6,37.5,7.6,MONTERIA,CORDOBA,NOCHE,SI
11258,11259,INST. ED. DEPARTAMENTAL JOSE DE LA LUZ MARTINEZ,A,64,39.5,38.7,9.6,42.9,3.7,40.1,6.7,40.6,5.5,37.8,8.4,35.9,6.1,41.0,5.2,39.3,7.6,SAN ZENON,MAGDALENA,COMPLETA U ORDINARIA,SI
11259,11260,INST. ED. RENAN BARCO,A,93,39.5,41.0,8.0,41.5,4.5,41.0,7.0,40.3,6.7,34.1,9.1,38.8,6.1,42.2,4.8,37.4,8.0,LA DORADA,CALDAS,NOCHE,SI
11260,11261,TECNICO COMERCIAL Y DE EDUCACION DE ADULTOS CLEOMEDES CABALLERO BUENO,F(1),13,39.5,37.8,9.2,38.7,6.2,39.6,7.5,39.9,7.3,34.2,6.3,37.8,5.0,45.5,8.5,42.9,4.6,INIRIDA,GUAINIA,NOCHE,SI
11261,11262,DE BACHILLERATO RURAL MIXTO DE PUERTO BADEL,A,21,39.5,39.7,8.1,43.0,3.2,39.6,8.5,41.1,8.2,37.3,5.3,37.1,5.0,42.8,6.3,35.8,5.9,ARJONA,BOLIVAR,COMPLETA U ORDINARIA,SI
11262,11263,INST. ED. DEPARTAMENTAL DOMINGO SAVIO,F(2),40,39.5,38.5,9.4,41.8,4.6,39.3,9.0,39.7,5.9,38.2,8.7,38.4,5.2,41.4,5.9,38.9,6.4,GUASCA,CUNDINAMARCA,SABATINA - DOMINICAL,SI
11263,11264,ATANASIO GIRARDOT,F(2),54,39.5,40.1,9.4,40.9,5.0,42.0,6.2,39.6,6.4,36.2,7.9,38.4,6.4,41.2,7.7,38.0,8.1,BELLO,ANTIOQUIA,SABATINA - DOMINICAL,SI
11264,11265,INST. ED. BOLIVARIANO,A,47,39.5,38.3,9.5,41.3,4.6,42.7,7.5,41.2,7.3,36.6,7.8,34.3,9.0,42.8,7.2,39.0,8.9,CAICEDONIA,VALLE,NOCHE,SI
11265,11266,INST. EDUCATIVO CELESTIN FREINET,A,14,39.5,42.2,5.6,41.9,5.4,41.9,6.3,41.7,8.0,36.7,7.0,37.5,8.4,39.5,12.5,34.9,12.2,CARTAGENA,BOLIVAR,MAÑANA,NO
11266,11267,INST. ED. DEPARTAMENTAL PIO XII,F(2),48,39.5,40.3,8.4,41.8,4.0,41.5,6.2,42.0,6.6,33.3,8.9,36.3,5.2,41.7,6.5,39.3,7.3,PACHO,CUNDINAMARCA,SABATINA - DOMINICAL,SI
11267,11268,INST. ED. CARLOS RAMON REPIZO CABRERA DE SAN AGUSTIN,F(2),82,39.5,39.5,8.9,42.0,4.3,41.4,7.5,40.6,6.2,35.4,7.8,37.8,5.6,41.1,5.6,38.5,7.1,SAN AGUSTIN,HUILA,SABATINA - DOMINICAL,SI
11268,11269,INST. ED. CANDELARIA HACIENDA,A,57,39.5,37.5,10.1,42.1,4.9,41.5,6.9,40.1,7.3,37.8,9.1,36.5,6.1,43.2,5.5,37.6,8.0,LORICA,CORDOBA,MAÑANA,SI
11269,11270,INST. ED. TECNICA DEPARTAMENTAL RAFAEL JIMENEZ ALTAHONA,A,49,39.5,39.6,7.4,40.9,4.7,41.8,7.5,40.4,6.3,36.8,6.9,37.7,6.3,41.2,5.1,37.9,7.5,SANTA ANA,MAGDALENA,COMPLETA U ORDINARIA,SI
11270,11271,TECNICO AGRICOLA SIGUI,A,6,39.5,36.7,8.4,41.3,3.3,41.5,7.3,40.0,2.1,38.2,7.5,36.3,6.0,43.0,2.5,39.2,8.5,LOPEZ (MICAY),CAUCA,COMPLETA U ORDINARIA,SI
11271,11272,INST. ED. PALESTINA,A,65,39.5,41.2,9.4,41.0,5.4,41.9,6.2,42.0,7.7,33.5,9.3,35.7,7.3,40.6,7.4,40.3,9.4,PALESTINA,HUILA,SABATINA - DOMINICAL,SI
11272,11273,DE CAPACITACION ENVIGADO BACHILLERATO SEMIESCOLARIZADO,F(2),51,39.5,38.6,9.7,41.8,5.1,40.9,6.1,40.7,7.9,36.5,7.3,36.9,6.8,41.8,8.4,39.1,11.4,ENVIGADO,ANTIOQUIA,MAÑANA,NO
11273,11274,SERVICIO EDUCATIVO NACIONAL DE ADULTOS SENDAS,F(2),289,39.5,39.7,9.6,41.7,4.2,41.6,6.7,40.3,7.0,35.3,8.9,37.5,5.8,41.3,6.5,38.8,8.1,CHAPARRAL,TOLIMA,SABATINA - DOMINICAL,NO
11274,11275,CENTRO DE EDUCACION DE ADULTOS CARL FRIEDICH GAUSS,F(2),15,39.5,43.3,8.3,40.4,3.6,41.7,4.6,40.1,6.6,35.2,7.9,39.8,4.7,39.7,4.7,35.9,12.6,MALAMBO,ATLANTICO,SABATINA - DOMINICAL,NO
11275,11276,INST. ED. HERACLIO LARA ARROYO,A,15,39.5,41.0,5.5,41.1,3.9,40.2,6.6,40.6,6.4,36.4,7.6,37.5,5.1,41.0,5.2,38.3,5.0,CARMEN DEL DARIEN,CHOCO,MAÑANA,SI
11276,11277,DEPARTAMENTAL LEONIDAS ORTIZ ALVEAR,A,19,39.5,36.3,10.9,39.2,5.2,42.7,9.2,41.0,5.6,37.3,6.6,37.7,8.6,42.8,4.7,39.1,6.3,SAN MARTIN DE LOBA,BOLIVAR,MAÑANA,SI
11277,11278,INST. ARQUIDIOCESANO Y RURAL IAUR,F(2),35,39.5,42.3,7.8,40.1,3.9,41.9,5.1,38.9,6.6,34.2,8.0,36.7,4.4,43.1,4.6,38.9,6.6,CAÑASGORDAS,ANTIOQUIA,COMPLETA U ORDINARIA,NO
11278,11279,INSTITUCIÓN EDUCATIVA TÉCNICO INDUSTRIAL CARLOS HOLGUÍN MALLARINO,A,51,39.5,38.8,10.0,41.5,4.4,41.5,6.4,41.6,6.1,36.7,9.0,36.4,7.4,42.0,5.7,37.8,9.1,CALI,VALLE,SABATINA - DOMINICAL,SI
11279,11280,INST. ED. SEGOVIANAS,A,11,39.5,35.9,16.0,43.2,4.0,42.4,6.9,39.7,7.3,34.6,9.9,37.9,8.3,44.1,5.0,38.4,5.3,LA PLATA,HUILA,COMPLETA U ORDINARIA,SI
11280,11281,INST. ED. LA LIBERTAD,A,22,39.5,37.6,8.8,41.3,3.5,44.6,6.6,41.1,5.8,34.9,12.8,36.4,4.8,40.2,6.8,40.0,8.4,MEDELLIN,ANTIOQUIA,NOCHE,SI
11281,11282,INST. TECNICO INDUSTRIAL Y EMPRESARIAL TULIO VARON,A,36,39.5,39.0,10.4,40.5,8.9,41.8,5.9,41.5,5.1,36.4,8.0,37.9,6.0,40.6,5.0,38.3,7.5,PURIFICACION,TOLIMA,MAÑANA,SI
11282,11283,INST. ED. SAN PEDRO,F(2),51,39.5,40.2,6.6,41.8,3.9,42.5,5.9,39.9,6.2,35.5,8.6,34.2,5.6,41.4,6.6,40.6,8.8,CUMBITARA,NARIÑO,SABATINA - DOMINICAL,SI
11283,11284,SEMIPRESENCIAL SAN JUAN BOSCO,F(2),41,39.5,36.4,10.9,41.9,5.8,42.1,6.1,40.7,6.2,35.7,7.3,37.4,6.3,41.7,6.5,40.2,4.9,PUERTO ASIS,PUTUMAYO,MAÑANA,NO
11284,11285,LICEO PARIS ALBERTO DIAZ MUÑOZ,F(2),92,39.5,40.2,8.5,41.1,4.5,40.6,7.1,40.5,5.4,35.4,9.4,37.5,6.1,41.9,6.0,38.9,9.0,BELLO,ANTIOQUIA,SABATINA - DOMINICAL,SI
11285,11286,INSTITUCIÓN EDUCATIVA MORALITO,A,14,39.5,39.2,8.5,41.8,4.6,40.9,6.8,42.1,8.0,34.5,9.0,37.4,6.6,42.1,5.8,38.1,6.5,SINCE,SUCRE,MAÑANA,SI
11286,11287,INST. ED. SAN FERNANDO,F(2),83,39.5,40.7,11.0,41.1,6.3,39.5,8.8,40.4,8.3,35.9,9.0,37.8,8.6,41.9,7.8,38.7,9.1,PEREIRA,RISARALDA,SABATINA - DOMINICAL,SI
11287,11288,DEPARTAMENTAL DE BACHILLERATO MACONDO,A,91,39.5,38.5,8.5,41.3,4.3,40.5,7.0,41.1,7.0,37.0,7.4,38.8,4.7,41.6,5.4,37.3,8.0,ZONA BANANERA,MAGDALENA,MAÑANA,SI
11288,11289,INST. TECNICO AGROPECUARIO DE DON GABRIEL,A,22,39.5,40.1,8.7,43.1,3.8,41.8,5.7,41.1,6.7,33.6,8.3,35.8,9.1,41.0,4.7,39.6,10.0,OVEJAS,SUCRE,MAÑANA,SI
11289,11290,LICEO COLOMBIA,A,35,39.5,39.7,6.9,40.8,3.9,41.1,6.6,40.9,5.9,35.0,7.5,37.6,6.6,42.9,6.0,38.0,6.4,SINCELEJO,SUCRE,MAÑANA,NO
11290,11291,INST. ED. NUMERO SEIS,F(2),40,39.5,40.8,8.6,41.7,3.5,41.0,7.3,40.0,6.8,36.8,6.2,37.5,4.6,40.5,5.4,37.9,6.2,MAICAO,LA GUAJIRA,NOCHE,SI
11291,11292,DE BACHILLERATO TECNICO DE LA PEÑA,A,42,39.5,41.1,6.1,42.2,4.3,41.2,6.2,40.1,6.1,33.6,7.9,39.5,4.7,41.3,5.5,37.2,7.1,SABANALARGA,ATLANTICO,MAÑANA,SI
11292,11293,GIMNASIO LATINOAMERICANO,A,70,39.5,41.0,9.7,41.9,4.2,40.0,7.3,40.3,6.8,35.7,7.4,37.5,8.8,42.1,5.8,37.6,7.3,CARTAGENA,BOLIVAR,MAÑANA,NO
11293,11294,CENTRO DE EDUCACION POPULAR DE ADULTOS SIMON RODRIGUEZ,F(2),153,39.5,39.0,9.6,41.8,4.5,41.6,7.1,41.0,6.7,35.0,8.5,36.6,6.6,41.6,5.6,39.4,8.2,CALI,VALLE,NOCHE,NO
11294,11295,INST. ED. ROGERIO VELASQUEZ MURILLO,A,31,39.5,42.2,8.7,40.9,5.3,39.5,9.8,40.7,9.1,33.6,8.1,39.0,8.5,41.9,6.9,38.4,8.7,QUIBDO,CHOCO,MAÑANA,SI
11295,11296,GIMNASIO MONTES DE OCA,A,1,39.5,30.0,0.0,48.0,0.0,38.0,0.0,48.0,0.0,30.0,0.0,43.0,0.0,48.0,0.0,31.0,0.0,MAICAO,LA GUAJIRA,MAÑANA,NO
11296,11297,SIMON BOLIVAR,A,17,39.5,38.9,9.2,42.3,5.4,39.4,6.5,41.2,7.2,34.0,9.4,39.2,4.0,40.7,6.5,40.4,4.1,LA MONTAÑITA,CAQUETA,MAÑANA,SI
11297,11298,INST. ED. DEPARTAMENTAL VICTOR CAMARGO ALVAREZ,A,41,39.5,39.4,8.2,41.7,5.3,40.7,7.9,40.8,5.3,36.8,7.0,37.0,6.5,40.2,4.4,39.5,8.4,PLATO,MAGDALENA,TARDE,SI
11298,11299,INSTITUCIÓN EDUCATIVA ALTA MONTAÑA,A,3,39.5,38.3,8.0,45.3,7.0,44.7,3.1,39.0,6.2,33.0,10.6,38.3,7.2,38.7,3.1,38.7,14.1,EL CARMEN DE BOLIVAR,BOLIVAR,MAÑANA,SI
11299,11300,INST. ED. INTERNADO INDIGENA SAN JOSE,A,36,39.5,39.6,9.3,42.8,4.4,40.6,6.7,38.4,6.4,36.1,9.5,37.7,3.9,42.1,5.6,38.6,7.7,URIBIA,LA GUAJIRA,COMPLETA U ORDINARIA,SI
11300,11301,INST. DE EDUCACION RURAL SANTA MARIA DEL CAMINO,A,3,39.5,42.3,12.5,40.3,3.8,28.3,13.9,41.0,9.6,42.7,10.0,35.3,10.5,45.7,6.7,40.3,7.5,CHIPATA,SANTANDER,COMPLETA U ORDINARIA,NO
11301,11302,INST. ED. DISTRITAL ONDAS DEL CARIBE,A,32,39.5,39.6,7.5,40.9,4.3,43.6,6.2,39.1,8.7,35.9,8.0,36.3,5.0,42.1,5.4,38.5,5.0,SANTA MARTA,MAGDALENA,TARDE,SI
11302,11303,INST. ED. NUEVA COLONIA,A,76,39.5,40.9,8.9,41.7,3.8,40.4,6.3,39.2,7.0,34.8,8.1,38.1,4.6,41.5,5.4,39.3,7.5,TURBO,ANTIOQUIA,MAÑANA,SI
11303,11304,INST. ED. SANTA ROSA DE LIMA,A,80,39.5,39.3,9.6,42.3,4.8,43.0,5.7,40.9,7.3,34.6,8.3,37.2,6.0,40.7,6.1,38.0,8.1,LOS PALMITOS,SUCRE,MAÑANA,SI
11304,11305,DE BACHILLERATO TECNICO COMERCIAL EL SANTUARIO,F(2),51,39.5,38.6,9.4,42.0,4.9,41.3,4.8,40.0,6.2,35.5,9.4,37.4,5.5,42.3,5.7,38.7,8.6,BARRANQUILLA,ATLANTICO,NOCHE,SI
11305,11306,INST. ED. RURAL SAN JOSE DEL NUS,A,13,39.5,38.0,6.7,42.2,3.2,38.8,7.4,41.1,5.4,33.9,7.5,38.6,7.4,43.7,3.6,39.7,4.8,SAN ROQUE,ANTIOQUIA,NOCHE,SI
11306,11307,INSTITUCIÓN EDUCATIVA ANTONIO ROLDÁN BETANCUR ,A,132,39.5,40.5,9.2,40.6,4.7,41.2,6.8,39.5,8.4,36.6,7.3,37.1,5.4,41.3,6.4,39.2,6.9,TARAZA,ANTIOQUIA,SABATINA - DOMINICAL,SI
11307,11308,INST. ED. DEPARTAMENTAL RURAL MARIA AUXILIADORA,A,44,39.5,37.9,9.9,41.8,4.9,42.8,6.0,41.8,7.1,36.6,6.7,35.6,6.2,41.1,6.4,38.2,7.6,GUAMAL,MAGDALENA,MAÑANA,SI
11308,11309,NACIONAL JOSE HILARIO LOPEZ,A,46,39.5,36.6,10.6,43.3,5.8,41.7,6.6,39.7,6.5,36.1,7.8,37.8,6.4,42.6,6.1,38.2,8.1,PUERTO TEJADA,CAUCA,MAÑANA,SI
11309,11310,INST. ED. DEPARTAMENTAL ROQUE DE LOS RIOS,A,56,39.5,39.5,9.3,41.4,4.5,41.8,6.4,39.6,5.9,36.3,8.7,37.7,5.8,42.1,5.7,37.6,8.0,EL RETEN,MAGDALENA,COMPLETA U ORDINARIA,SI
11310,11311,DOMINGO BENKOS BIOHO,A,74,39.5,37.6,8.6,42.4,4.7,42.6,6.3,39.7,8.1,36.3,8.7,38.1,6.0,41.4,5.9,37.8,8.4,CARTAGENA,BOLIVAR,TARDE,SI
11311,11312,DE BACHILLERATO CARLOS MEISEL,A,6,39.5,38.7,10.7,41.0,2.0,39.5,7.0,43.3,5.9,35.7,7.9,40.8,2.8,42.5,5.7,34.3,3.9,BARRANQUILLA,ATLANTICO,NOCHE,SI
11312,11313,INST. ED. JOSE JOAQUIN FLOREZ HERNANDEZ,F(2),12,39.5,37.3,6.0,42.1,1.9,41.1,8.0,39.3,4.4,38.3,6.3,37.2,6.4,42.9,6.7,37.8,8.9,IBAGUE,TOLIMA,NOCHE,SI
11313,11314,GIMNASIO INTERACTIVO KAIZEN,F(2),100,39.5,40.1,10.5,40.3,7.7,40.6,8.9,41.7,8.5,35.1,9.0,36.6,9.2,41.4,8.8,40.1,9.7,VILLAVICENCIO,META,SABATINA - DOMINICAL,NO
11314,11315,CENTRO EDUCATIVO LICEO DEL CARIBE,F(2),6,39.5,39.3,4.6,41.0,6.4,40.3,7.0,41.0,7.2,34.8,8.7,34.8,5.5,44.8,5.6,39.7,7.3,SINCELEJO,SUCRE,SABATINA - DOMINICAL,NO
